Id,Code_18,EU_ID,Description,East_1K,North_1K
433,112,EU_1572417,Discontinuous urban fabric,495000,255000
434,231,EU_1594957,Pastures,495000,255000
435,112,EU_1572417,Discontinuous urban fabric,495000,255000
436,231,EU_1594957,Pastures,495000,255000
437,112,EU_1572417,Discontinuous urban fabric,495000,256000
438,112,EU_1572447,Discontinuous urban fabric,495000,256000
439,112,EU_1572417,Discontinuous urban fabric,495000,256000
440,112,EU_1572447,Discontinuous urban fabric,495000,256000
441,112,EU_1572417,Discontinuous urban fabric,495000,256000
442,112,EU_1572447,Discontinuous urban fabric,495000,256000
443,112,EU_1572417,Discontinuous urban fabric,495000,256000
444,112,EU_1572447,Discontinuous urban fabric,495000,256000
445,112,EU_1572447,Discontinuous urban fabric,495000,257000
446,231,EU_1595085,Pastures,495000,257000
447,112,EU_1572447,Discontinuous urban fabric,495000,257000
448,231,EU_1595085,Pastures,495000,257000
449,112,EU_1572447,Discontinuous urban fabric,495000,257000
450,231,EU_1595085,Pastures,495000,257000
451,231,EU_1595085,Pastures,495000,258000
452,231,EU_1595085,Pastures,495000,258000
453,231,EU_1595085,Pastures,495000,258000
454,231,EU_1594835,Pastures,496000,251000
455,231,EU_1594835,Pastures,496000,252000
456,231,EU_1594957,Pastures,496000,254000
457,231,EU_1594957,Pastures,496000,255000
458,231,EU_1594957,Pastures,496000,255000
459,231,EU_1594835,Pastures,497000,251000
460,231,EU_1594835,Pastures,497000,252000
461,231,EU_1594956,Pastures,497000,253000
462,231,EU_1594956,Pastures,497000,253000
463,231,EU_1594956,Pastures,497000,254000
464,231,EU_1594956,Pastures,497000,254000
465,231,EU_1594956,Pastures,497000,255000
466,231,EU_1594956,Pastures,497000,255000
467,112,EU_1572338,Discontinuous urban fabric,498000,252000
468,112,EU_1572338,Discontinuous urban fabric,498000,252000
469,231,EU_1594956,Pastures,498000,253000
470,112,EU_1572338,Discontinuous urban fabric,498000,253000
471,231,EU_1594956,Pastures,498000,253000
472,112,EU_1572338,Discontinuous urban fabric,498000,253000
473,231,EU_1594956,Pastures,498000,253000
474,112,EU_1572338,Discontinuous urban fabric,498000,253000
475,231,EU_1594956,Pastures,498000,254000
476,231,EU_1594956,Pastures,498000,254000
477,231,EU_1594956,Pastures,498000,254000
478,231,EU_1594956,Pastures,498000,254000
479,112,EU_1572338,Discontinuous urban fabric,499000,252000
480,112,EU_1572338,Discontinuous urban fabric,499000,252000
481,231,EU_1594956,Pastures,499000,253000
482,112,EU_1572338,Discontinuous urban fabric,499000,253000
483,231,EU_1594956,Pastures,499000,253000
484,112,EU_1572338,Discontinuous urban fabric,499000,253000
485,231,EU_1594956,Pastures,499000,253000
486,112,EU_1572338,Discontinuous urban fabric,499000,253000
487,231,EU_1595003,Pastures,500000,257000
488,231,EU_1595097,Pastures,500000,257000
489,231,EU_1595003,Pastures,500000,257000
490,231,EU_1595097,Pastures,500000,257000
491,231,EU_1595003,Pastures,500000,257000
492,231,EU_1595097,Pastures,500000,257000
493,231,EU_1595003,Pastures,500000,257000
494,231,EU_1595097,Pastures,500000,257000
495,231,EU_1595097,Pastures,501000,257000
496,512,EU_1625345,Water bodies,501000,257000
497,231,EU_1595097,Pastures,501000,257000
498,512,EU_1625345,Water bodies,501000,257000
499,231,EU_1595097,Pastures,501000,257000
500,512,EU_1625345,Water bodies,501000,257000
501,231,EU_1595097,Pastures,501000,257000
502,512,EU_1625345,Water bodies,501000,257000
503,231,EU_1595097,Pastures,501000,258000
504,512,EU_1625345,Water bodies,501000,258000
505,231,EU_1595097,Pastures,501000,258000
506,512,EU_1625345,Water bodies,501000,258000
507,231,EU_1595097,Pastures,501000,258000
508,512,EU_1625345,Water bodies,501000,258000
509,231,EU_1595047,Pastures,502000,257000
510,231,EU_1595047,Pastures,502000,257000
511,231,EU_1595047,Pastures,502000,258000
512,231,EU_1595047,Pastures,502000,258000
513,231,EU_1595088,Pastures,496000,257000
514,231,EU_1595088,Pastures,496000,257000
515,231,EU_1595088,Pastures,496000,257000
516,231,EU_1595088,Pastures,496000,257000
517,231,EU_1595088,Pastures,494000,255000
518,231,EU_1595088,Pastures,494000,255000
519,231,EU_1595088,Pastures,494000,255000
520,231,EU_1595088,Pastures,494000,256000
521,231,EU_1595088,Pastures,494000,256000
522,231,EU_1595088,Pastures,494000,256000
523,231,EU_1595088,Pastures,495000,256000
524,231,EU_1595088,Pastures,495000,256000
525,231,EU_1595088,Pastures,495000,256000
526,231,EU_1595088,Pastures,495000,256000
527,231,EU_1595088,Pastures,494000,253000
528,231,EU_1595088,Pastures,493000,253000
529,231,EU_1595088,Pastures,493000,253000
530,231,EU_1595136,Pastures,498000,259000
531,231,EU_1595136,Pastures,498000,259000
532,231,EU_1595136,Pastures,497000,259000
533,231,EU_1595136,Pastures,497000,259000
534,231,EU_1595136,Pastures,497000,260000
535,231,EU_1595136,Pastures,497000,260000
536,311,EU_1605019,Broad-leaved forest,494000,258000
537,311,EU_1605019,Broad-leaved forest,494000,258000
538,311,EU_1605027,Broad-leaved forest,495000,259000
539,311,EU_1605027,Broad-leaved forest,495000,259000
540,311,EU_1605027,Broad-leaved forest,496000,259000
541,311,EU_1605027,Broad-leaved forest,496000,259000
542,311,EU_1605027,Broad-leaved forest,496000,259000
543,311,EU_1605027,Broad-leaved forest,495000,258000
544,311,EU_1605027,Broad-leaved forest,495000,258000
545,311,EU_1605027,Broad-leaved forest,495000,258000
546,311,EU_1605038,Broad-leaved forest,494000,259000
547,311,EU_1605038,Broad-leaved forest,494000,260000
548,311,EU_1605038,Broad-leaved forest,494000,260000
549,311,EU_1605038,Broad-leaved forest,494000,259000
550,311,EU_1605038,Broad-leaved forest,494000,259000
551,313,EU_1612658,Mixed forest,496000,252000
552,313,EU_1612658,Mixed forest,497000,252000
553,512,EU_1625341,Water bodies,496000,257000
554,512,EU_1625341,Water bodies,496000,257000
555,512,EU_1625341,Water bodies,496000,257000
